TimeWindow  TotalIterations  Iterations  Convergence  QNColumns  DeletedQNColumns  DroppedQNColumns  
   189    2965      15       1     100       1      13  
   190    2978      13       1     100       1      11  
   191    2993      15       1     100       1      13  
   192    3007      14       1     100       1      12  
   193    3020      13       1     100       1      11  
   194    3035      15       1     100       1      13  
   195    3048      13       1     100       1      11  
   196    3062      14       1     100       1      12  
   197    3075      13       1     100       1      11  
   198    3089      14       1     100       1      12  
   199    3102      13       1     100       1      11  
   200    3115      13       1     100       1      11  
   201    3129      14       1     100       1      12  
   202    3144      15       1     100       1      13  
   203    3158      14       1     100       1      12  
   204    3173      15       1     100       1      13  
   205    3188      15       1     100       1      13  
   206    3202      14       1     100       1      12  
   207    3217      15       1     100       1      13  
   208    3232      15       1     100       1      13  
   209    3246      14       1     100       1      12  
   210    3259      13       1     100       1      11  
   211    3271      12       1     100       1      10  
   212    3286      15       1     100       1      13  
   213    3300      14       1     100       1      12  
   214    3315      15       1     100       1      13  
   215    3328      13       1     100       1      11  
   216    3342      14       1     100       0      13  
   217    3353      11       1     100       2       8  
   218    3368      15       1     100       1      13  
   219    3382      14       1     100       1      12  
   220    3395      13       1     100       2      10  
   221    3407      12       1     100       1      10  
   222    3421      14       1     100       1      12  
   223    3435      14       1     100       1      12  
   224    3451      16       1     100       1      14  
   225    3465      14       1     100       1      12  
   226    3479      14       1     100       1      12  
   227    3493      14       1     100       0      13  
   228    3504      11       1     100       2       8  
   229    3518      14       1     100       0      13  
   230    3529      11       1     100       1       9  
   231    3540      11       1     100       1       9  
   232    3550      10       1     100       1       8  
   233    3560      10       1     100       1       8  
   234    3569       9       1     100       1       7  
   235    3578       9       1     100       1       7  
   236    3588      10       1     100       1       8  
   237    3598      10       1     100       1       8  
   238    3606       8       1     100       1       6  
   239    3615       9       1     100       1       7  
   240    3625      10       1     100       1       8  
   241    3635      10       1     100       1       8  
   242    3643       8       1     100       1       6  
   243    3652       9       1     100       1       7  
   244    3661       9       1     100       1       7  
   245    3670       9       1     100       1       7  
   246    3678       8       1     100       1       6  
   247    3687       9       1     100       1       7  
   248    3696       9       1     100       1       7  
   249    3705       9       1     100       1       7  
   250    3713       8       1     100       1       6  
   251    3722       9       1     100       1       7  
   252    3731       9       1     100       2       6  
   253    3741      10       1     100       1       8  
   254    3751      10       1     100       1       8  
   255    3762      11       1     100       1       9  
   256    3770       8       1     100       1       6  
   257    3779       9       1     100       1       7  
   258    3788       9       1     100       1       7  
   259    3798      10       1     100       1       8  
   260    3806       8       1     100       1       6  
   261    3814       8       1     100       1       6  
   262    3822       8       1     100       1       6  
   263    3831       9       1     100       1       7  
   264    3841      10       1     100       1       8  
   265    3850       9       1     100       1       7  
   266    3860      10       1     100       1       8  
   267    3869       9       1     100       1       7  
   268    3879      10       1     100       1       8  
   269    3888       9       1     100       1       7  
   270    3898      10       1     100       1       8  
   271    3908      10       1     100       1       8  
   272    3917       9       1     100       1       7  
   273    3925       8       1     100       1       6  
   274    3933       8       1     100       2       5  
   275    3949      16       1     100       2      13  
   276    3963      14       1     100       1      12  
   277    3975      12       1     100       1      10  
   278    3988      13       1     100       2      10  
   279    4000      12       1     100       1      10  
   280    4013      13       1     100       0      12  
   281    4023      10       1     100       1       8  
   282    4033      10       1     100       1       8  
   283    4044      11       1     100       1       9  
   284    4054      10       1     100       1       8  
   285    4063       9       1     100       1       7  
   286    4073      10       1     100       1       8  
   287    4083      10       1     100       1       8  
   288    4091       8       1     100       2       5  
   289    4107      16       1     100       1      14  
   290    4121      14       1     100       1      12  
   291    4135      14       1     100       1      12  
   292    4148      13       1     100       1      11  
   293    4161      13       1     100       1      11  
   294    4173      12       1     100       1      10  
   295    4185      12       1     100       1      10  
   296    4198      13       1     100       1      11  
   297    4211      13       1     100       1      11  
   298    4226      15       1     100       1      13  
   299    4240      14       1     100       1      12  
   300    4253      13       1     100       1      11  
   301    4264      11       1     100       1       9  
   302    4281      17       1     100       2      14  
   303    4295      14       1     100       1      12  
   304    4309      14       1     100       1      12  
   305    4323      14       1     100       1      12  
   306    4339      16       1     100       1      14  
   307    4355      16       1     100       1      14  
   308    4370      15       1     100       1      13  
   309    4385      15       1     100       1      13  
   310    4401      16       1     100       1      14  
   311    4413      12       1     100       1      10  
   312    4427      14       1     100       1      12  
   313    4440      13       1     100       1      11  
   314    4452      12       1     100       1      10  
   315    4467      15       1     100       1      13  
   316    4482      15       1     100       1      13  
   317    4501      19       1     100       6      12  
   318    4517      16       1     100       1      14  
   319    4532      15       1     100       1      13  
   320    4547      15       1     100       1      13  
   321    4566      19       1     100       1      17  
   322    4580      14       1     100       1      12  
   323    4599      19       1     100       1      17  
   324    4616      17       1     100       1      15  
   325    4629      13       1     100       1      11  
   326    4644      15       1     100       1      13  
   327    4658      14       1     100       1      12  
   328    4670      12       1     100       1      10  
   329    4684      14       1     100       1      12  
   330    4697      13       1     100       1      11  
   331    4710      13       1     100       1      11  
   332    4724      14       1     100       1      12  
   333    4739      15       1     100       1      13  
   334    4754      15       1     100       2      12  
   335    4768      14       1     100       1      12  
   336    4787      19       1     100       4      14  
   337    4804      17       1     100       1      15  
   338    4822      18       1     100       3      14  
   339    4840      18       1     100       1      16  
   340    4858      18       1     100       1      16  
   341    4874      16       1     100       1      14  
   342    4890      16       1     100       1      14  
   343    4911      21       1     100       2      18  
   344    4927      16       1     100       1      14  
   345    4945      18       1     100       1      16  
   346    4962      17       1     100       1      15  
   347    4977      15       1     100       1      13  
   348    4991      14       1     100       1      12  
   349    5004      13       1     100       1      11  
   350    5019      15       1     100       1      13  
   351    5035      16       1     100       1      14  
   352    5049      14       1     100       1      12  
   353    5069      20       1     100       6      13  
   354    5085      16       1     100       1      14  
   355    5099      14       1     100       1      12  
   356    5113      14       1     100       1      12  
   357    5126      13       1     100       2      10  
   358    5142      16       1     100       1      14  
   359    5158      16       1     100       1      14  
   360    5173      15       1     100       2      12  
   361    5194      21       1     100       4      16  
   362    5212      18       1     100       1      16  
   363    5228      16       1     100       1      14  
   364    5245      17       1     100       1      15  
   365    5260      15       1     100       2      12  
   366    5274      14       1     100       1      12  
   367    5295      21       1     100       6      14  
   368    5315      20       1     100       1      18  
   369    5333      18       1     100       1      16  
   370    5347      14       1     100       1      12  
   371    5362      15       1     100       1      13  
   372    5380      18       1     100       1      16  
   373    5397      17       1     100       1      15  
   374    5414      17       1     100       1      15  
   375    5429      15       1     100       2      12  
   376    5442      13       1     100       1      11  
   377    5457      15       1     100       1      13  
   378    5471      14       1     100       1      12  
   379    5485      14       1     100       1      12  
   380    5497      12       1     100       1      10  
   381    5510      13       1     100       1      11  
   382    5523      13       1     100       2      10  
   383    5535      12       1     100       1      10  
   384    5549      14       1     100       1      12  
   385    5561      12       1     100       1      10  
   386    5576      15       1     100       4      10  
   387    5593      17       1     100       1      15  
   388    5608      15       1     100       1      13  
   389    5622      14       1     100       1      12  
   390    5635      13       1     100       1      11  
   391    5650      15       1     100       1      13  
   392    5664      14       1     100       1      12  
   393    5678      14       1     100       2      11  
   394    5693      15       1     100       1      13  
   395    5711      18       1     100       1      16  
   396    5729      18       1     100       1      16  
   397    5745      16       1     100       1      14  
   398    5760      15       1     100       2      12  
   399    5779      19       1     100       3      15  
   400    5797      18       1     100       1      16  
   401    5814      17       1     100       1      15  
   402    5832      18       1     100       1      16  
   403    5847      15       1     100       1      13  
   404    5863      16       1     100       3      12  
   405    5878      15       1     100       1      13  
   406    5893      15       1     100       1      13  
   407    5907      14       1     100       1      12  
   408    5922      15       1     100       1      13  
   409    5937      15       1     100       1      13  
   410    5956      19       1     100       5      13  
   411    5974      18       1     100       1      16  
   412    5989      15       1     100       1      13  
   413    6005      16       1     100       1      14  
   414    6020      15       1     100       2      12  
   415    6036      16       1     100       1      14  
   416    6052      16       1     100       2      13  
   417    6069      17       1     100       1      15  
   418    6088      19       1     100       1      17  
   419    6105      17       1     100       1      15  
   420    6122      17       1     100       1      15  
   421    6137      15       1     100       1      13  
   422    6153      16       1     100       1      14  
   423    6167      14       1     100       1      12  
   424    6183      16       1     100       1      14  
   425    6198      15       1     100       1      13  
   426    6213      15       1     100       2      12  
   427    6228      15       1     100       1      13  
   428    6243      15       1     100       1      13  
   429    6255      12       1     100       2       9  
   430    6269      14       1     100       1      12  
   431    6284      15       1     100       3      11  
   432    6300      16       1     100       1      14  
   433    6315      15       1     100       1      13  
   434    6332      17       1     100       2      14  
   435    6354      22       1     100       2      19  
   436    6373      19       1     100       1      17  
   437    6391      18       1     100       1      16  
   438    6409      18       1     100       4      13  
   439    6426      17       1     100       1      15  
   440    6445      19       1     100       1      17  
   441    6463      18       1     100       1      16  
   442    6478      15       1     100       4      10  
   443    6496      18       1     100       1      16  
   444    6514      18       1     100       1      16  
   445    6531      17       1     100       1      15  
   446    6548      17       1     100       2      14  
   447    6565      17       1     100       1      15  
   448    6580      15       1     100       1      13  
   449    6595      15       1     100       1      13  
   450    6611      16       1     100       1      14  
   451    6626      15       1     100       2      12  
   452    6642      16       1     100       1      14  
   453    6659      17       1     100       1      15  
   454    6676      17       1     100       2      14  
   455    6690      14       1     100       1      12  
   456    6706      16       1     100       2      13  
   457    6723      17       1     100       4      12  
   458    6741      18       1     100       1      16  
   459    6759      18       1     100       2      15  
   460    6776      17       1     100       1      15  
   461    6793      17       1     100       1      15  
   462    6811      18       1     100       1      16  
   463    6827      16       1     100       2      13  
   464    6844      17       1     100       1      15  
   465    6859      15       1     100       1      13  
   466    6873      14       1     100       1      12  
   467    6889      16       1     100       1      14  
   468    6904      15       1     100       1      13  
   469    6918      14       1     100       1      12  
   470    6934      16       1     100       2      13  
   471    6947      13       1     100       1      11  
   472    6963      16       1     100       2      13  
   473    6979      16       1     100       1      14  
   474    6994      15       1     100       1      13  
   475    7010      16       1     100       1      14  
   476    7024      14       1     100       1      12  
   477    7037      13       1     100       1      11  
   478    7052      15       1     100       1      13  
   479    7066      14       1     100       1      12  
