Time  Coordinate0  Coordinate1  Coordinate2  Displacement0  Displacement1  Displacement2  Force0  Force1  Force2  
 7.50000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   8.45998687e-09   2.46934709e-08  -4.77067250e-09   2.39391400e-07   3.47958154e-07  -1.73545992e-10  
 7.75000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   8.90034691e-09   2.67919541e-08  -5.58574144e-09   2.45412719e-07   3.40604028e-07  -1.66324393e-10  
 8.00000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   9.36134659e-09   2.90977753e-08  -6.53865808e-09   2.53344742e-07   3.70078342e-07  -1.51483725e-10  
 8.25000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   9.83994934e-09   3.15466287e-08  -7.65360781e-09   2.62370419e-07   4.16245214e-07  -1.27343214e-10  
 8.50000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.03377377e-08   3.42106092e-08  -8.95673200e-09   2.68390485e-07   4.02518971e-07  -9.39101476e-11  
 8.75000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.08522313e-08   3.70410358e-08  -1.04818681e-08   2.74546064e-07   3.87668724e-07  -5.00077984e-11  
 9.00000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.13855573e-08   4.01028763e-08  -1.22669925e-08   2.85206467e-07   4.60495251e-07   7.84775831e-12  
 9.25000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.19374218e-08   4.34040979e-08  -1.43588539e-08   2.91070953e-07   4.39647620e-07   7.93127319e-11  
 9.50000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.25094198e-08   4.69765890e-08  -1.68119939e-08   3.02664350e-07   5.29880151e-07   1.68971280e-10  
 9.75000000e-04   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.31019103e-08   5.08313687e-08  -1.96942320e-08   3.10423599e-07   5.42216867e-07   2.77408567e-10  
 1.00000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.37127360e-08   5.49107427e-08  -2.30855967e-08   3.15796776e-07   5.01777813e-07   4.03355115e-10  
 1.02500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.43490803e-08   5.93976116e-08  -2.70889950e-08   3.29534000e-07   6.32946275e-07   5.63285461e-10  
 1.05000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.50065393e-08   6.41701751e-08  -3.18285311e-08   3.34561478e-07   5.81446987e-07   7.48931587e-10  
 1.07500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.56889173e-08   6.93173440e-08  -3.74554727e-08   3.46162546e-07   6.64115162e-07   9.70402781e-10  
 1.10000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.63966973e-08   7.48485980e-08  -4.41609507e-08   3.56607885e-07   7.19330031e-07   1.23669153e-09  
 1.12500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.71329007e-08   8.08310407e-08  -5.21744499e-08   3.67182455e-07   7.78320256e-07   1.55482453e-09  
 1.15000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.78977210e-08   8.72674674e-08  -6.17778098e-08   3.74307283e-07   7.65979625e-07   1.93220023e-09  
 1.17500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.86940729e-08   9.42350296e-08  -7.33129160e-08   3.84011851e-07   8.03182625e-07   2.38596396e-09  
 1.20000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   1.95220797e-08   1.01733764e-07  -8.71937713e-08   3.99267641e-07   9.49786968e-07   2.93356373e-09  
 1.22500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.03836700e-08   1.09816674e-07  -1.03910413e-07   4.10924841e-07   1.02385678e-06   3.58243480e-09  
 1.25000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.12834276e-08   1.18606248e-07  -1.24043202e-07   4.16089827e-07   9.70246359e-07   4.34762273e-09  
 1.27500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.22196080e-08   1.28042644e-07  -1.48265125e-07   4.33344424e-07   1.15484405e-06   5.25932497e-09  
 1.30000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.31977480e-08   1.38269673e-07  -1.77348026e-07   4.43129708e-07   1.19064497e-06   6.32564119e-09  
 1.32500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.42203016e-08   1.49339107e-07  -2.12166510e-07   4.50005316e-07   1.17053757e-06   7.56936146e-09  
 1.35000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.52882187e-08   1.61266041e-07  -2.53696309e-07   4.70166098e-07   1.41233097e-06   9.02949553e-09  
 1.37500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.64064194e-08   1.74181678e-07  -3.03008204e-07   4.81234681e-07   1.47882859e-06   1.06949704e-08  
 1.40000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.75767849e-08   1.88113578e-07  -3.61269340e-07   4.97359308e-07   1.64506025e-06   1.26117969e-08  
 1.42500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   2.87992985e-08   2.03066660e-07  -4.29715423e-07   5.11789144e-07   1.77575620e-06   1.47747504e-08  
 1.45000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.00795398e-08   2.19163797e-07  -5.09645540e-07   5.26145236e-07   1.91175838e-06   1.72000212e-08  
 1.47500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.14181991e-08   2.36415113e-07  -6.02399425e-07   5.44689041e-07   2.12849835e-06   1.99079739e-08  
 1.50000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.28167558e-08   2.54860490e-07  -7.09323843e-07   5.66977822e-07   2.42396394e-06   2.28927364e-08  
 1.52500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.42760055e-08   2.74517900e-07  -8.31762822e-07   5.83209879e-07   2.60287422e-06   2.61442004e-08  
 1.55000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.57990949e-08   2.95464101e-07  -9.71013707e-07   6.01604182e-07   2.82613143e-06   2.96626177e-08  
 1.57500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.73803865e-08   3.17562446e-07  -1.12831108e-06   6.22481252e-07   3.09557896e-06   3.34433360e-08  
 1.60000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   3.90249161e-08   3.40929048e-07  -1.30479395e-06   6.46665630e-07   3.43781715e-06   3.74616952e-08  
 1.62500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   4.07345630e-08   3.65616501e-07  -1.50148007e-06   6.65580380e-07   3.67998214e-06   4.16793591e-08  
 1.65000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   4.25036516e-08   3.91478635e-07  -1.71924725e-06   6.82863425e-07   3.88543321e-06   4.60768497e-08  
 1.67500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   4.43310032e-08   4.18475518e-07  -1.95881446e-06   7.04452630e-07   4.17532069e-06   5.06372578e-08  
 1.70000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   4.62180676e-08   4.46647602e-07  -2.22072851e-06   7.38154102e-07   4.71149918e-06   5.53496795e-08  
 1.72500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   4.81660891e-08   4.76013770e-07  -2.50536305e-06   7.53610785e-07   4.88702943e-06   6.00935605e-08  
 1.75000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   5.01725856e-08   5.06534205e-07  -2.81290875e-06   7.84308710e-07   5.36093439e-06   6.49265441e-08  
 1.77500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   5.22333459e-08   5.38090702e-07  -3.14339056e-06   8.05646315e-07   5.64592271e-06   6.97525016e-08  
 1.80000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   5.43507729e-08   5.70745388e-07  -3.49666541e-06   8.31744690e-07   6.03196182e-06   7.45772290e-08  
 1.82500000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   5.65247878e-08   6.04516797e-07  -3.87244719e-06   8.55321191e-07   6.36371465e-06   7.93492902e-08  
 1.85000000e-03   1.96167081e-04   4.99235197e-03   2.46875000e-02   5.87503201e-08   6.39262593e-07  -4.27031598e-06   8.84576733e-07   6.80123466e-06   8.40737955e-08  
