TimeWindow  TotalIterations  Iterations  Convergence  
   295    4185      12       1  
   296    4198      13       1  
   297    4211      13       1  
   298    4226      15       1  
   299    4240      14       1  
   300    4253      13       1  
   301    4264      11       1  
   302    4281      17       1  
   303    4295      14       1  
   304    4309      14       1  
   305    4323      14       1  
   306    4339      16       1  
   307    4355      16       1  
   308    4370      15       1  
   309    4385      15       1  
   310    4401      16       1  
   311    4413      12       1  
   312    4427      14       1  
   313    4440      13       1  
   314    4452      12       1  
   315    4467      15       1  
   316    4482      15       1  
   317    4501      19       1  
   318    4517      16       1  
   319    4532      15       1  
   320    4547      15       1  
   321    4566      19       1  
   322    4580      14       1  
   323    4599      19       1  
   324    4616      17       1  
   325    4629      13       1  
   326    4644      15       1  
   327    4658      14       1  
   328    4670      12       1  
   329    4684      14       1  
   330    4697      13       1  
   331    4710      13       1  
   332    4724      14       1  
   333    4739      15       1  
   334    4754      15       1  
   335    4768      14       1  
   336    4787      19       1  
   337    4804      17       1  
   338    4822      18       1  
   339    4840      18       1  
   340    4858      18       1  
   341    4874      16       1  
   342    4890      16       1  
   343    4911      21       1  
   344    4927      16       1  
   345    4945      18       1  
   346    4962      17       1  
   347    4977      15       1  
   348    4991      14       1  
   349    5004      13       1  
   350    5019      15       1  
   351    5035      16       1  
   352    5049      14       1  
   353    5069      20       1  
   354    5085      16       1  
   355    5099      14       1  
   356    5113      14       1  
   357    5126      13       1  
   358    5142      16       1  
   359    5158      16       1  
   360    5173      15       1  
   361    5194      21       1  
   362    5212      18       1  
   363    5228      16       1  
   364    5245      17       1  
   365    5260      15       1  
   366    5274      14       1  
   367    5295      21       1  
   368    5315      20       1  
   369    5333      18       1  
   370    5347      14       1  
   371    5362      15       1  
   372    5380      18       1  
   373    5397      17       1  
   374    5414      17       1  
   375    5429      15       1  
   376    5442      13       1  
   377    5457      15       1  
   378    5471      14       1  
   379    5485      14       1  
   380    5497      12       1  
   381    5510      13       1  
   382    5523      13       1  
   383    5535      12       1  
   384    5549      14       1  
   385    5561      12       1  
   386    5576      15       1  
   387    5593      17       1  
   388    5608      15       1  
   389    5622      14       1  
   390    5635      13       1  
   391    5650      15       1  
   392    5664      14       1  
   393    5678      14       1  
   394    5693      15       1  
   395    5711      18       1  
